i e e2 e3
13800 0.0104011937541 0.0104011937541 0.0105050534026
14000 0.00994571816299 0.00994571816299 0.0101709485406
14200 0.0103832916696 0.0103832916696 0.0102124395884
14400 0.0105721824873 0.0105721824873 0.0103359534519
14600 0.0106424645572 0.0106424645572 0.0105152888446
14800 0.0106760100669 0.0106760100669 0.0109320690661
15000 0.010427429838 0.010427429838 0.010596122434
15200 0.0103693835932 0.0103693835932 0.0105706879982
15400 0.0104467648205 0.0104467648205 0.0106873403673
15600 0.0104450435869 0.0104450435869 0.010588660896
15800 0.0106094946522 0.0106094946522 0.0108422113943
16000 0.0103684925942 0.0103684925942 0.0106457309681
16200 0.0105510462317 0.0105510462317 0.0108391264391
16400 0.0104214300957 0.0104214300957 0.0106290306821
16600 0.0106893033552 0.0106893033552 0.0109842251913
16800 0.0108280385096 0.0108280385096 0.0110514219149
17000 0.0110986118464 0.0110986118464 0.0112152471728
17200 0.0108351258648 0.0108351258648 0.0108774517815
17400 0.0103675794495 0.0103675794495 0.0104088938373
17600 0.0103474234418 0.0103474234418 0.0104248687252
17800 0.00987830739846 0.00987830739846 0.00999696129956
18000 0.00968175379146 0.00968175379146 0.0098123848574
18200 0.0090388234163 0.0090388234163 0.00908927890465
18400 0.0092131541764 0.0092131541764 0.00929259003849
18600 0.00927453497124 0.00927453497124 0.00932431639927
18800 0.00941106856018 0.00941106856018 0.0094889945447
19000 0.00957926556497 0.00957926556497 0.0097076989049
19200 0.00938183558148 0.00938183558148 0.00938794350918
19400 0.00944297330035 0.00944297330035 0.00944129725632
19600 0.00936973878884 0.00936973878884 0.00932310439474
19800 0.00929009267209 0.00929009267209 0.00929276064004
20000 0.00909407654617 0.00909407654617 0.00914480356129
20200 0.00950757388248 0.00950757388248 0.00957501064254
20400 0.0097582532719 0.0097582532719 0.00951902735163
20600 0.00986981821271 0.00986981821271 0.0096248242774
20800 0.00987557689534 0.00987557689534 0.00979192099931
21000 0.0102524879768 0.0102524879768 0.0102534222727
21200 0.0102029385406 0.0102029385406 0.0102003057997
21400 0.0101265711883 0.0101265711883 0.010125692851
21600 0.00984184759965 0.00984184759965 0.00983845668729
21800 0.00977592770974 0.00977592770974 0.00977445100248
22000 0.010099682969 0.010099682969 0.0100953751397
22200 0.0104119746858 0.0104119746858 0.0104116027
22400 0.0106879994197 0.0106879994197 0.0106889615645
22600 0.0109529169063 0.0109529169063 0.0109529348216
22800 0.0105628590851 0.0105628590851 0.0105642381297
23000 0.0108093126386 0.0108093126386 0.0108108942751
23200 0.0112508620318 0.0112508620318 0.0112485596507
23400 0.0115900495705 0.0115900495705 0.011589529561
23600 0.0118301396127 0.0118301396127 0.0118335920232
23800 0.011712349271 0.011712349271 0.0117133570039
24000 0.0118933846506 0.0118933846506 0.0118943422739
24200 0.0120623889509 0.0120623889509 0.0120631505779
24400 0.0117842250318 0.0117842250318 0.0117816503255
24600 0.0112660562579 0.0112660562579 0.0112661017007
24800 0.0110126607798 0.0110126607798 0.011011524674
25000 0.0104639564417 0.0104639564417 0.0104630817883
25200 0.0105036754494 0.0105036754494 0.0105040161444
25400 0.0104301995984 0.0104301995984 0.0104302579924
25600 0.0107179651186 0.0107179651186 0.0107186626026
25800 0.0107505523042 0.0107505523042 0.0107508688177
26000 0.010893210838 0.010893210838 0.0108931659077
26200 0.0111720449601 0.0111720449601 0.0111721690641
26400 0.0113342060907 0.0113342060907 0.0113349255233
26600 0.0117805721589 0.0117805721589 0.0117773343249
